id_partida,regiao,id_players,name_players,pick,win,win_rate,modo,mapa,data_adicao																
None_Hard Rock Mine_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_#YGQYGCR_#PLLRJC2V_#GYCYCLRJL_OTIS_STU_SHADE_HANK_CROW_MORTIS,SA,#280RJ29R9	#LG8PCJG8	#2YYJYPCL	#YGQYGCR	#PLLRJC2V	#GYCYCLRJL,SDL|Kapi	FNRS|Tex	TomzyðŸ‘½	BH|Portox	BH|Wesley534	BH|Prozy,OTIS,1,100.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_#YGQYGCR_#PLLRJC2V_#GYCYCLRJL_OTIS_STU_SHADE_HANK_CROW_MORTIS,SA,#280RJ29R9	#LG8PCJG8	#2YYJYPCL	#YGQYGCR	#PLLRJC2V	#GYCYCLRJL,SDL|Kapi	FNRS|Tex	TomzyðŸ‘½	BH|Portox	BH|Wesley534	BH|Prozy,STU,1,100.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_#YGQYGCR_#PLLRJC2V_#GYCYCLRJL_OTIS_STU_SHADE_HANK_CROW_MORTIS,SA,#280RJ29R9	#LG8PCJG8	#2YYJYPCL	#YGQYGCR	#PLLRJC2V	#GYCYCLRJL,SDL|Kapi	FNRS|Tex	TomzyðŸ‘½	BH|Portox	BH|Wesley534	BH|Prozy,SHADE,1,100.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_#YGQYGCR_#PLLRJC2V_#GYCYCLRJL_OTIS_STU_SHADE_HANK_CROW_MORTIS,SA,#280RJ29R9	#LG8PCJG8	#2YYJYPCL	#YGQYGCR	#PLLRJC2V	#GYCYCLRJL,SDL|Kapi	FNRS|Tex	TomzyðŸ‘½	BH|Portox	BH|Wesley534	BH|Prozy,HANK,0,0.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_#YGQYGCR_#PLLRJC2V_#GYCYCLRJL_OTIS_STU_SHADE_HANK_CROW_MORTIS,SA,#280RJ29R9	#LG8PCJG8	#2YYJYPCL	#YGQYGCR	#PLLRJC2V	#GYCYCLRJL,SDL|Kapi	FNRS|Tex	TomzyðŸ‘½	BH|Portox	BH|Wesley534	BH|Prozy,CROW,0,0.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_#YGQYGCR_#PLLRJC2V_#GYCYCLRJL_OTIS_STU_SHADE_HANK_CROW_MORTIS,SA,#280RJ29R9	#LG8PCJG8	#2YYJYPCL	#YGQYGCR	#PLLRJC2V	#GYCYCLRJL,SDL|Kapi	FNRS|Tex	TomzyðŸ‘½	BH|Portox	BH|Wesley534	BH|Prozy,MORTIS,0,0.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#YGQYGCR_#GYCYCLRJL_#PLLRJC2V_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_CHESTER_MORTIS_CHARLIE_RICO_BONNIE_SHADE,SA,#YGQYGCR	#GYCYCLRJL	#PLLRJC2V	#280RJ29R9	#LG8PCJG8	#2YYJYPCL,BH|Portox	BH|Prozy	BH|Wesley534	SDL|Kapi	FNRS|Tex	TomzyðŸ‘½,CHESTER,0,0.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#YGQYGCR_#GYCYCLRJL_#PLLRJC2V_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_CHESTER_MORTIS_CHARLIE_RICO_BONNIE_SHADE,SA,#YGQYGCR	#GYCYCLRJL	#PLLRJC2V	#280RJ29R9	#LG8PCJG8	#2YYJYPCL,BH|Portox	BH|Prozy	BH|Wesley534	SDL|Kapi	FNRS|Tex	TomzyðŸ‘½,MORTIS,0,0.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#YGQYGCR_#GYCYCLRJL_#PLLRJC2V_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_CHESTER_MORTIS_CHARLIE_RICO_BONNIE_SHADE,SA,#YGQYGCR	#GYCYCLRJL	#PLLRJC2V	#280RJ29R9	#LG8PCJG8	#2YYJYPCL,BH|Portox	BH|Prozy	BH|Wesley534	SDL|Kapi	FNRS|Tex	TomzyðŸ‘½,CHARLIE,0,0.0%,gemGrab,Hard Rock Mine,Antiga						
None_Hard Rock Mine_#YGQYGCR_#GYCYCLRJL_#PLLRJC2V_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_CHESTER_MORTIS_CHARLIE_RICO_BONNIE_SHADE,SA,#YGQYGCR	#GYCYCLRJL	#PLLRJC2V	#280RJ29R9	#LG8PCJG8	#2YYJYPCL,BH|Portox	BH|Prozy	BH|Wesley534	SDL|Kapi	FNRS|Tex	TomzyðŸ‘½,RICO,1,100.0%,gemGrab,Hard Rock Mine,Antiga						
